|Samskara: A Rite For A Dead Man|http://img7.flixcart.com/image/book/1/4/5/samskara-a-rite-for-a-dead-man-275x275-imad8fjrapwefqkx.jpeg|U. R. Ananthamurthy#Books%Academic and Professional%Social Science%Discrimination and Race Relations#0198077149#9780198077145#Paperback#2012#Oxford University Press#2ndEdition#English|0198077149|9780198077145|
|The Golden Hat: Talking Back to Autism|http://img8.flixcart.com/img/439/9781451645439.jpg|Kate Winslet, Margret Ericsdottir, Keli Thorsteinsson#Books%Families and Relationships%Child Development%Children with Special needs#1451645430#9781451645439#Hardcover#2012#Simon & Schuster#N.A.#English|1451645430|9781451645439|
|Jaal: Book I of The Kaal Trilogy|http://img7.flixcart.com/image/book/9/1/3/jaal-book-i-of-the-kaal-trilogy-275x275-imad8ryzg5qsbykd.jpeg|Sangeeta Bahadur#Books%Literature and Fiction%Fantasy%Epic#0330542915#9780330542913#Paperback#2012#Pan Macmillan India#N.A.#English|0330542915|9780330542913|
|Adapt: Why Success Always Starts With Failure|http://img8.flixcart.com/image/book/5/1/2/adapt-why-success-always-starts-with-failure-275x275-imad8zhtyu5bfzu8.jpeg|Tim Harford#Books%Business%Investing and Management%Management%Decision-Making and Problem Solving#0349121516#9780349121512#Paperback#2012#Abacus#N.A.#English|0349121516|9780349121512|
|The Sins of the Father|http://img7.flixcart.com//image/book/2/3/1/the-sins-of-the-father-275x275-imad6wfdhguaurmh.jpeg|Jeffrey Archer#Books%Literature and Fiction%Literary Collections%Literary#0230748236#9780230748231#Hardcover#2012#Pan Macmillan India#N.A.#English|0230748236|9780230748231|
|Save Tax: The Smart Way|http://img5.flixcart.com/image/book/3/2/6/save-tax-the-smart-way-275x275-imad9g6hueawmhmr.jpeg|Mukesh M Patel, Jigar M Patel#Books%Academic and Professional%Law%Taxation#9350710326#9789350710326#Paperback#2012#Taxmann#2ndEdition#English|9350710326|9789350710326|
|Nick of Time|http://img8.flixcart.com/image/book/2/4/8/nick-of-time-275x275-imad8v6ubxf8z6py.jpeg|Komal Mehta#Books%Literature and Fiction%Romance%Adult#014341724X#9780143417248#Paperback#2012#Metro Reads#N.A.#English|014341724X|9780143417248|
|The Witness|http://img6.flixcart.com/image/book/1/6/8/the-witness-275x275-imad7r6yu5wnbjjy.jpeg|Nora Roberts#Books%Literature and Fiction%Suspense and Thriller#0749955163#9780749955168#Paperback#2012#Piatkus#N.A.#English|0749955163|9780749955168|
|An Introduction To The CAT: Tips From An IIM Alumnus|http://img8.flixcart.com/image/book/6/8/9/introduction-to-the-cat-tips-from-an-iim-alumunus-275x275-imad7xpetgss7gn3.jpeg|Sidharth Balakrishana#Books%Entrance Exams Preparation%MBA%CAT#8131770680#9788131770689#Paperback#2012#PEARSON EDUCATION(SINGAPORE) PTE. LTD.-DELHI#4thEdition#N.A.|8131770680|9788131770689|
|Highway 39: Journeys Through A Fractured Land|http://img6.flixcart.com/image/book/3/4/8/highway-39-journeys-through-a-fractured-land-275x275-imad92xrkv7azphc.jpeg|Sudeep Chakravarti#Books%Travel%Other Books%Travel Writting#9350293348#9789350293348#Paperback#2012#Fourth Estate#N.A.#English|9350293348|9789350293348|
