|One Night @ The Call Center|http://img8.flixcart.com/img/180/9788129108180.jpg|Chetan Bhagat#Books%Literature and Fiction%Suspense and Thriller#8129108186#9788129108180#Paperback#2005#Rupa & Co#1stEdition#English|8129108186|9788129108180|
|I've Got Your Number|http://img8.flixcart.com/img/821/9780593059821.jpg|Sophie Kinsella#Books%Literature and Fiction%General#0593059824#9780593059821#Paperback#2012#Random House Publishers India Private Limited#N.A.#English|0593059824|9780593059821|
|The Godfather|http://img8.flixcart.com/img/289/9780099429289.jpg|Mario Puzo#Books%Literature and Fiction%Crime#0099429284#9780099429289#Paperback#1991#Arrow#New edition#English|0099429284|9780099429289|
|Faceless|http://img5.flixcart.com/image/book/9/8/5/faceless-275x275-imad8t22jksnnmgy.jpeg|Tapan Ghosh#Books%Literature and Fiction%Suspense and Thriller#9381115985#9789381115985#Paperback#2011#Leadstart Publishing Pvt Ltd#N.A.#English|9381115985|9789381115985|
|Two Fates: The Story Of My Divorce|http://img6.flixcart.com/img/009/9789381626009.jpg|Judy Balan#Books%Literature and Fiction%Others%Humorous#9381626006#9789381626009#Paperback#2011#Westland#N.A.#English|9381626006|9789381626009|
|A Thousand Splendid Suns|http://img6.flixcart.com/img/893/9780747585893.jpg|Khaled Hosseini#Books%Literature and Fiction%General#074758589X#9780747585893#Paperback#2008#Penguin Books India#Trade Paperback Edition#English|074758589X|9780747585893|
|PS, I Love You|http://img5.flixcart.com/img/101/9780007270101.jpg|Cecelia Ahern#Books%Literature and Fiction%General#0007270100#9780007270101#Paperback#2010#Harper Collins#01#English|0007270100|9780007270101|
|The Time of My Life|http://img8.flixcart.com/img/305/9780007463305.jpg|Cecelia Ahern#Books%Religion and Spirituality%Religious Philosphy%Philosophy#0007463308#9780007463305#Paperback#N.A.#Harper#N.A.#English|0007463308|9780007463305|
|Just Friends|http://img6.flixcart.com/img/119/9788183520119.jpg|Sumrit Shahi#Books%Literature and Fiction%Romance#8183520111#9788183520119#Paperback#2010#Mahaveer Publications#N.A.#English|8183520111|9788183520119|
|Chetan Bhagat Combo Of 5 Books|http://img6.flixcart.com/img/131/9788129119131.jpg|Chetan Bhagat#Books%Literature and Fiction%Romance%Contemporary#8129119137#9788129119131#Paperback#2011#Rupa & Co.#N.A.#English|8129119137|9788129119131|
